TP_NoTP,actual_label,oof_predicted_label,oof_is_error,oof_p_tp,oof_p_notp,is_boundary_band,ptp_distance_from_boundary,local_nn_dist,coverage_cell_key,A_Cell_D,C_Barrier_Thx,F_ThermalResin_Thx,G_CoolantLPM,B_Barrier_Type,discrete_combo_id,Eval#,MaxT_TB_Center,MaxT_TB_Top,MaxT_TB_Btm,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power,Unnamed: 16,CellD_x_Resin,oof_tmax_pred,oof_MaxT_TB_Top_pred,oof_MaxT_TB_Btm_pred,oof_MaxT_Adj_Y_pred,oof_MaxT_Adj_Z_pred,oof_Max_Power_pred,oof_Time_MaxT_pred
0,0,0,False,0.04527797240916698,0.954722027590833,False,0.454722027590833,0.23640782892788156,2_2_1_0,13.62064854,2.233007376,1.893774292,3.453895132,ETI,combo_001,1,123.7814469,114.8687825,121.4281739,166.9135213,-0.173679459,0.112040882,847.8564214,312.7,140.1,Initial,25.794434045419333,123.79540724004784,114.73519454508482,121.06239689819822,-0.28670362609954564,0.11253301012253114,852.8348781820821,316.390022718069
1,1,1,False,0.9998903128205257,0.00010968717947434925,False,0.49989031282052565,0.26671276818730405,3_0_2_1,15.4212917,1.059793309,2.327644861,12.72983229,ETI,combo_001,2,115.9605143,99.130613,113.9749824,544.9556682,-0.214512458,0.092946689,2056.781355,117.000001,81.5,,35.89529037548695,161.46594467740528,136.50581429910582,145.62498421181354,-0.4026145424937105,0.11621988305486002,1890.5874843439733,242.3325771312085
1,1,1,False,0.9727784347829811,0.027221565217018906,False,0.4727784347829811,0.17731562284217728,3_0_0_1,14.69924287,1.403003879,1.409897549,12.63060293,ETI,combo_001,3,125.5401894,112.6551433,121.0941455,718.0871019,-0.177063498,0.105172378,1497.836541,185.300001,95.1,,20.72442649456873,140.06441377898136,130.972344461322,133.20119333023186,-0.3471742732569898,0.1163214945749618,1502.1890002554474,242.4031785321257
1,1,1,False,0.9161844447139629,0.08381555528603712,False,0.4161844447139629,0.16508913188701602,2_0_2_0,13.11039268,1.394320747,2.213860506,0.822784095,ETI,combo_001,4,128.9743768,116.486459,127.1904038,592.1842414,-0.490351437,0.107866163,1498.568107,202.500001,90.4,,29.024580572403497,143.43367725337225,130.8161868491855,138.03938953734098,-0.4179963980234651,0.11201356587891412,1485.37749873827,245.82568794991568
0,0,0,False,0.00012812243141979707,0.9998718775685802,False,0.4998718775685802,0.2535921713239621,0_1_3_0,11.12368179,1.794243017,2.632029304,5.731029041,ETI,combo_001,5,130.0436429,120.3971253,129.3444118,182.1881694,-0.501700525,0.107203005,1084.736004,270.2,111.4,,29.27785643965117,130.6676294507163,121.55064396232765,130.03285970218593,-0.3921587735188847,0.10685275696885244,1078.8004162336933,279.3898635549366
0,0,0,False,0.2578711196023846,0.7421288803976154,False,0.24212888039761538,0.2356921467806825,1_3_1_3,12.12531974,2.726928024,1.762602773,25.79994151,ETI,combo_001,6,116.0698585,107.8407264,111.426216,145.5462318,-0.488265863,0.115023343,603.9073195,372.1,125.7,,21.37212219723564,116.68564279028071,108.33004145144206,112.3592328851059,-0.4530758122389622,0.11407771418360543,601.2690683729653,369.9340302253117
0,0,0,False,0.002696682785995108,0.9973033172140049,False,0.4973033172140049,0.2088362639444847,1_2_2_1,11.74369257,2.056341711,2.370376654,9.976600272,ETI,combo_001,7,125.4561819,115.1769443,123.6119816,171.1489608,-0.495937611,0.108404274,917.3473561,293.7,125.3,,27.836974699681264,125.99003567754971,116.26968874319707,125.00304496221734,-0.38439870854059743,0.10858132783829569,918.4399893570491,296.66570307486717
1,1,1,False,0.9999205779960221,7.942200397792476e-05,False,0.4999205779960221,0.14558246541680245,2_0_2_0,14.40380371,1.11969452,2.23841178,3.197426084,ETI,combo_001,8,116.8034285,99.1699396,114.1953321,541.7288928,-0.210051338,0.096010988,1934.580784,120.300001,81.0,,32.2416439012717,158.25939406110442,135.62121483990276,144.3551463001998,-0.49283587771934945,0.11621490269643545,1802.3518680354516,239.49757433016032
0,0,0,False,0.001758132850795846,0.9982418671492042,False,0.49824186714920415,0.21279268586423394,1_0_1_2,11.72224902,1.437487493,1.970342224,19.34435109,ETI,combo_001,9,138.0473719,128.5805146,133.5062113,201.9928467,-0.509820703,0.111201797,1418.838351,239.5,90.1,,23.09684220434862,140.41932768149653,129.51169309916267,135.302021135283,-0.38439605052946907,0.11051921624135559,1400.993976173824,255.92059730551682
1,1,1,False,0.9999609332148793,3.906678512066719e-05,False,0.49996093321487933,0.20453416615406061,3_0_1_0,14.92665386,1.303068539,1.676088367,1.535872215,ETI,combo_001,10,118.7418755,102.782789,114.8147597,827.7120641,-0.189193703,0.100010609,1629.621841,149.100001,90.6,,25.018390892981646,145.87553359170386,132.38530383927178,136.76155842774233,-0.13599275247821435,0.11840073847514793,1591.2390757772168,235.02197378004982
