bin_label,bin_mid,n,error_rate,is_boundary_bin
0.0-0.2,0.1,63,0.015873015873015872,False
0.2-0.4,0.30000000000000004,32,0.15625,False
0.4-0.6,0.5,24,0.5,True
0.6-0.8,0.7000000000000001,13,0.15384615384615385,False
0.8-1.0,0.9,70,0.0,False
