A_Cell_D,C_Barrier_Thx,F_ThermalResin_Thx,G_CoolantLPM,B_Barrier_Type,discrete_combo_id,CellD_x_Resin,selected_model_kind,p_tp,p_notp,boundary_score,clf_uncertainty_raw,clf_uncertainty_scaled,tmax_pred_given_notp,tmax_std_given_notp,MaxT_Adj_pred_given_notp,MaxT_Adj_std_given_notp,tmax_scaled,notp_window_score,local_sparsity,combo_priority,acq_boundary,acq_notp_high_tmax,acq_uncertainty_sparse,MaxT_TB_Top_pred_given_notp,MaxT_TB_Top_std_given_notp,MaxT_TB_Btm_pred_given_notp,MaxT_TB_Btm_std_given_notp,MaxT_Adj_Y_pred_given_notp,MaxT_Adj_Y_std_given_notp,MaxT_Adj_Z_pred_given_notp,MaxT_Adj_Z_std_given_notp,Max_Power_pred_given_notp,Max_Power_std_given_notp,acq_misclass_repair
15.787244585067228,1.5119016956674938,2.828614864073593,29.580078763523854,ETI,combo_001,44.65603469608651,gp,0.4824716718373594,0.5175283281626406,0.9649433436747188,0.230286068545061,0.7337026174391441,141.2297987082793,1.966968365457235,141.2297987082793,1.966968365457235,0.6781288873482129,0.0,0.7193196831177424,0.9999999409999999,0.9057148072404853,0.6365079214877878,0.525636356788979,130.57100809847176,1.3064201439152836,128.4801143076975,6.880535189707125,-0.43415087286693643,0.13182119610918655,0.1092971271604677,0.004344839004952416,1348.2337222644032,22.74059903881716,0.011733075154168032
10.218542677497254,1.2718631853621059,1.9062266375944337,27.22467512970016,ETI,combo_001,19.47885824924081,gp,0.5014451512049702,0.49855484879502976,0.9971096975900595,0.24711498907765997,0.7880027515687176,143.1986480023864,1.8108211679428539,143.1986480023864,1.8108211679428539,0.7222798058827757,0.0,0.42899643913544755,0.9999999409999999,0.8976266831181092,0.6363959156734785,0.4636900966694294,131.65025877060017,1.255906378200251,136.02559502909608,1.2236407952713342,-0.4368560970303792,0.1317293098452863,0.1103934391406077,0.0019627975779167796,1504.1552031759056,21.611131133420947,0.04622042946807965
10.410884518297923,1.2871795380577737,2.8111604000291965,19.013383978138094,ETI,combo_001,29.26666628711616,gp,0.5012428335992274,0.4987571664007726,0.9975143328015452,0.24196597370144887,0.7713889571769794,145.19467294333379,1.8094283381930019,145.19467294333379,1.8094283381930019,0.7670401310252296,0.0,0.4251734400117204,0.9999999409999999,0.8955105099797628,0.6717647842954722,0.45605161276960166,131.9883437123176,1.237412618108943,139.67535428107095,1.2810085387436332,-0.45365770005656997,0.1266336139427491,0.11025744183595584,0.00260123381514197,1560.8369167892274,16.48926824294162,0.05996637511118511
15.539314021105966,1.4972888454480935,2.3246924771464936,29.058082914850576,ETI,combo_001,36.12412640488207,gp,0.49221693669892375,0.5077830633010763,0.9844338733978475,0.2347029050897442,0.7479539662609607,140.1927149723876,1.7202761043141868,140.1927149723876,1.7202761043141868,0.6548725621058885,0.0,0.5178457399620118,0.9999999409999999,0.8952740050858768,0.5876436418508051,0.45059480717635897,130.3470157381896,1.1633465874132267,138.00916439239333,1.1588595607372314,-0.4302206690467504,0.13180529924794737,0.10941893331276961,0.0030333079183034566,1352.1779924204648,20.02063288521802,0.02046881084735244
14.620423400044618,1.4640629827015994,2.9404313225001157,23.64220893722948,ETI,combo_001,42.99035091370484,gp,0.49976743664333506,0.5002325633566649,0.9995348732866701,0.22525129490018142,0.717457435004571,142.41899013054314,1.880012584086506,142.41899013054314,1.880012584086506,0.7047961867517373,0.0,0.4496673820529939,0.9999999409999999,0.8940709623473837,0.6273122453810434,0.4509506815098435,131.0338077447722,1.1881948196714047,131.31917716252067,5.449748197400609,-0.4323244603780078,0.13170581922239394,0.1102879386872313,0.0022632275019016084,1424.5958512526408,16.23218673368965,0.03575410438898566
15.959086176230954,1.5103920756536402,2.7478082534693495,21.052873465762502,ETI,combo_001,43.852508712876016,gp,0.5147129415884315,0.4852870584115685,0.970574116823137,0.23169516565479856,0.7382492050774974,141.19804544803054,1.928558321308192,141.19804544803054,1.928558321308192,0.677416828984657,0.0,0.5836863563458077,0.9999999409999999,0.8924711213673022,0.6208005285253507,0.49403067211233803,130.60774563399713,1.3036525404693606,129.5417634984235,6.153034765262937,-0.43416697309009056,0.13182119643281828,0.11013198521272549,0.004251766744418245,1417.2576955093355,17.127529919875368,0.013787524401899837
15.811135465425231,1.5162817513840723,2.899223246683637,14.728542869998515,ETI,combo_001,45.84001149782494,gp,0.48219659474364107,0.5178034052563589,0.9643931894872821,0.22992612184070935,0.7325412147046114,141.36373807296548,1.9832642913565428,141.36373807296548,1.9832642913565428,0.6811324417576489,0.0,0.6193824175293497,0.9999999409999999,0.8919028761626622,0.6295850024705357,0.507856198633641,130.5307317842441,1.3147464780200988,127.23556720048772,7.920014073055341,-0.4341560767447355,0.1318211962641654,0.11065413109772428,0.004195537921889111,1435.961722016471,16.104913289069795,0.02332723140387236
10.179767596188661,1.2763742855883606,1.6189779544563292,0.20996101173340262,ETI,combo_001,16.480819319718343,gp,0.49494313156835545,0.5050568684316445,0.9898862631367109,0.25509282019750745,0.8137439926086086,142.25668657199975,1.8300103725035795,142.25668657199975,1.8300103725035795,0.7011565728856245,0.0,0.4023698533287562,0.9999999409999999,0.8916238274016103,0.6176212291382102,0.4718075096965343,131.32436103399104,1.2649770981870447,134.74003927608535,1.2871175459249447,-0.44624184875900064,0.12945889949677447,0.1087378801054122,0.0024016720503223306,1551.0859134105033,20.725832269326283,0.16361635047743922
15.680550050519894,1.4962759924476217,1.9809491324266084,27.388170046041225,ETI,combo_001,31.062372018549397,gp,0.5130074643415874,0.4869925356584126,0.9739850713168252,0.23501568032270032,0.7489631656964816,139.18156087174526,1.6381662982599543,139.18156087174526,1.6381662982599543,0.6321977019949753,0.0,0.5360865096325068,0.9999999409999999,0.8899524926231017,0.5679621799534151,0.4411840377818312,130.14228344254124,1.1357442863103009,136.49337058873513,1.0498532763302475,-0.43148617790227073,0.13181389195014598,0.11004019613063847,0.0026991051242569565,1364.3187638338502,18.288023920690353,0.01424152643747086
10.136564110793564,1.2641558718182715,1.3237477558141546,23.787909042961427,ETI,combo_001,13.418253993329282,gp,0.5082917400999278,0.49170825990007216,0.9834165198001443,0.2469296503108791,0.7874047381740903,141.6803046203823,1.920424176067084,141.6803046203823,1.920424176067084,0.6882313618667709,0.0,0.44199131170225125,0.9999999409999999,0.8889836588398577,0.6149492347424625,0.48402021392536887,131.38442745770487,1.319782339598721,131.82542636713092,2.614149430547301,-0.4352230610098933,0.13180577414762074,0.11039772658699243,0.0017812468984539308,1533.2682665674502,19.849487486147222,0.008984453277565262
