accuracy,tp_precision,tp_recall,tp_f1,confusion_matrix_labels_NoTP0_TP1,tmax_mae,tmax_rmse,tmax_r2,tmax_eval_n,model,fold,cv_model_group
0.8307692307692308,0.8064516129032258,0.8333333333333334,0.819672131147541,"[[29, 6], [5, 25]]",1.1395328883843052,1.7981310377529187,0.9976430825641972,35,gp,0,gp_cv
0.7846153846153846,0.7857142857142857,0.7333333333333333,0.7586206896551724,"[[29, 6], [8, 22]]",1.4373125204876178,1.7340065459475476,0.9976620381484369,35,gp,1,gp_cv
0.8461538461538461,0.7941176470588235,0.9,0.84375,"[[28, 7], [3, 27]]",1.4652552468476512,1.8998123142811432,0.997678773335652,35,gp,2,gp_cv
0.71875,0.7727272727272727,0.5666666666666667,0.6538461538461539,"[[29, 5], [13, 17]]",1.3965270224767874,1.8792087502988484,0.997737142364146,34,gp,3,gp_cv
0.828125,0.8214285714285714,0.7931034482758621,0.8070175438596491,"[[30, 5], [6, 23]]",1.292245106919857,1.6988471960356883,0.9983608183534941,35,gp,4,gp_cv
0.8,0.7297297297297297,0.9,0.8059701492537313,"[[25, 10], [3, 27]]",2.080274297220982,2.905709935989229,0.9938453096052274,35,mlp,0,mlp_cv
0.7230769230769231,0.6875,0.7333333333333333,0.7096774193548387,"[[25, 10], [8, 22]]",2.0925808362723144,2.6932666661673963,0.9943597978830814,35,mlp,1,mlp_cv
0.8615384615384616,0.8181818181818182,0.9,0.8571428571428571,"[[29, 6], [3, 27]]",2.61171681351562,3.386862622930332,0.9926228040950718,35,mlp,2,mlp_cv
0.796875,0.7931034482758621,0.7666666666666667,0.7796610169491526,"[[28, 6], [7, 23]]",1.8950345920841016,2.376465022657063,0.9963811545749263,34,mlp,3,mlp_cv
0.828125,0.7647058823529411,0.896551724137931,0.8253968253968254,"[[27, 8], [3, 26]]",2.2141009036607135,2.8876883227499253,0.9952639194446334,35,mlp,4,mlp_cv
