segment,n,accuracy,tp_recall,tp_f1,error_rate
Boundary,30,0.7,0.9090909090909091,0.6896551724137931,0.3
Non-boundary,192,0.90625,0.9017857142857143,0.9181818181818182,0.09375
Overall,222,0.8783783783783784,0.9024390243902439,0.891566265060241,0.12162162162162163
