accuracy,tp_precision,tp_recall,tp_f1,confusion_matrix_labels_NoTP0_TP1,tmax_mae,tmax_rmse,tmax_r2,tmax_eval_n,model,fold,cv_model_group
0.8888888888888888,0.9545454545454546,0.84,0.8936170212765957,"[[19, 1], [4, 21]]",5.141676475787891,7.156094099984662,0.9103927320790135,20,gp,0,gp_cv
0.9111111111111111,0.9565217391304348,0.88,0.9166666666666666,"[[19, 1], [3, 22]]",6.171614128147583,7.071606708107414,0.8417917189586195,20,gp,1,gp_cv
0.8409090909090909,0.84,0.875,0.8571428571428571,"[[16, 4], [3, 21]]",4.418698478294293,6.434559952546873,0.9403465335733808,20,gp,2,gp_cv
0.7954545454545454,0.7777777777777778,0.875,0.8235294117647058,"[[14, 6], [3, 21]]",7.436023139433642,9.122758673124773,0.8620466727967405,20,gp,3,gp_cv
0.9318181818181818,0.9230769230769231,0.96,0.9411764705882353,"[[17, 2], [1, 24]]",3.8755771143618056,4.86463371205447,0.9686668266804185,19,gp,4,gp_cv
0.8666666666666667,0.8518518518518519,0.92,0.8846153846153846,"[[16, 4], [2, 23]]",4.2569386657421875,5.92380073555668,0.938596654587007,20,mlp,0,mlp_cv
0.8888888888888888,0.8846153846153846,0.92,0.9019607843137255,"[[17, 3], [2, 23]]",4.995524824667972,6.906614783193622,0.8490881019250012,20,mlp,1,mlp_cv
0.8636363636363636,0.875,0.875,0.875,"[[17, 3], [3, 21]]",5.070874135214841,8.003244565987528,0.9077152035118963,20,mlp,2,mlp_cv
0.7727272727272727,0.7692307692307693,0.8333333333333334,0.8,"[[14, 6], [4, 20]]",7.079944291943363,9.333042742650974,0.8556135907845023,20,mlp,3,mlp_cv
0.9090909090909091,0.8888888888888888,0.96,0.9230769230769231,"[[16, 3], [1, 24]]",2.6623601376130743,3.3953524460227276,0.9847358082053627,19,mlp,4,mlp_cv
