discrete_combo_id,B_Barrier_Type,D_Barrier_Outer_Type,n_total,n_notp,n_tp,notp_ratio,tp_ratio,notp_tmax_min,notp_tmax_mean,notp_tmax_max
combo_001,Si1,PU,37,17,20,0.4594594594594595,0.5405405405405406,324.6352937,370.80554917647055,423.6383574
combo_002,Si1,Si1,43,19,24,0.4418604651162791,0.5581395348837209,262.5767887,351.4179746052631,430.7024571
combo_003,Si2,PU,39,20,19,0.5128205128205128,0.48717948717948717,308.7359367,367.863325175,426.528061
combo_004,Si2,Si2,39,22,17,0.5641025641025641,0.4358974358974359,265.2624785,351.1081147272728,417.1962141
combo_005,Si3,PU,40,20,20,0.5,0.5,287.4763493,370.93217987500003,427.3821429
combo_006,Si3,Si3,43,20,23,0.46511627906976744,0.5348837209302325,305.8374404,373.81799904,423.8801431
combo_007,A1,PU,27,13,14,0.48148148148148145,0.5185185185185185,266.0174615,366.6353952,431.2817636
combo_008,A1,Si1,40,19,21,0.475,0.525,263.5845894,355.5024658,434.8895237
combo_009,A1,Si2,39,21,18,0.5384615384615384,0.46153846153846156,295.0316891,368.26214691428567,433.3653155
combo_010,A1,Si3,43,26,17,0.6046511627906976,0.3953488372093023,269.7775331,363.02935710384617,414.6080228
combo_011,A2,PU,40,20,20,0.5,0.5,298.6275314,369.964172615,421.3573955
combo_012,A2,Si1,37,13,24,0.35135135135135137,0.6486486486486487,308.6322493,375.94905816923074,427.2692692
combo_013,A2,Si2,40,22,18,0.55,0.45,291.3035203,354.7184111272727,415.8741277
combo_014,A2,Si3,43,18,25,0.4186046511627907,0.5813953488372093,292.3628725,360.49500870555556,422.6358634
