segment,n,accuracy,tp_recall,tp_f1,error_rate
Boundary,34,0.5882352941176471,0.5,0.5882352941176471,0.4117647058823529
Non-boundary,294,0.8571428571428571,0.8611111111111112,0.8551724137931035,0.14285714285714285
Overall,328,0.8292682926829268,0.8170731707317073,0.8271604938271605,0.17073170731707318
