discrete_combo_id,B_Barrier_Type,D_Barrier_Outer_Type,n_total,n_notp,n_tp,notp_ratio,tp_ratio,notp_tmax_min,notp_tmax_mean,notp_tmax_max
combo_001,Si1,PU,35,16,19,0.45714285714285713,0.5428571428571428,324.6352937,372.00303305,423.6383574
combo_002,Si1,Si1,40,19,21,0.475,0.525,262.5767887,351.4179746052631,430.7024571
combo_003,Si2,PU,38,19,19,0.5,0.5,308.7359367,370.4081685473684,426.528061
combo_004,Si2,Si2,36,22,14,0.6111111111111112,0.3888888888888889,265.2624785,353.2232553727273,417.1962141
combo_005,Si3,PU,38,20,18,0.5263157894736842,0.47368421052631576,287.4763493,370.93217987500003,427.3821429
combo_006,Si3,Si3,40,18,22,0.45,0.55,305.8374404,371.1731637722222,423.8801431
combo_007,A1,PU,39,13,26,0.3333333333333333,0.6666666666666666,266.0174615,366.6353952,431.2817636
combo_008,A1,Si1,36,19,17,0.5277777777777778,0.4722222222222222,263.5845894,353.0552691947368,434.8895237
combo_009,A1,Si2,36,21,15,0.5833333333333334,0.4166666666666667,295.0316891,368.26214691428567,433.3653155
combo_010,A1,Si3,40,23,17,0.575,0.425,269.7775331,360.0212274217392,414.6080228
combo_011,A2,PU,37,19,18,0.5135135135135135,0.4864864864864865,298.6275314,371.89917809473684,421.3573955
combo_012,A2,Si1,33,12,21,0.36363636363636365,0.6363636363636364,308.6322493,371.83516231666664,427.2692692
combo_013,A2,Si2,37,21,16,0.5675675675675675,0.43243243243243246,291.3035203,351.806234147619,406.6595602
combo_014,A2,Si3,40,18,22,0.45,0.55,292.3628725,360.49500870555556,422.6358634
