Eval#,A_Cell_D,B_Barrier_Type,C_Barrier_Thx,D_Barrier_Outer_Type,E_Barrier_Outer_Thx,F_ThermalResin_Thx,TP_NoTP,MaxT_TB,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power,CellD_x_Resin,Barrier_x_Outer,discrete_combo_id,oof_predicted_label
22,12.10878406,Si1,0.403154262,Si1,2.29968358,0.886933679,1,292.1919,808.9561,-0.00557782,0.03376049,1349.874,,,10.739688394552356,0.9271272365284179,combo_002,0
38,18.38118458,Si1,1.274950167,PU,2.998720407,2.499282949,0,307.4379503,320.9531954,-0.00045,0.051871632,1228.938748,,,45.93978120321572,3.823219083690958,combo_001,1
10,12.17450815,Si1,0.954668269,Si1,2.0137605,2.448021916,1,271.6831572,886.138147,-0.003837766,0.046348402,1216.264224,,,29.803462767720614,1.9224732507155746,combo_002,0
2,18.27718379,Si1,1.056774647,PU,2.239840708,1.527581188,0,273.7040766,284.3815126,-0.0026677,0.0521148,1247.130044,Itr_2,,27.919882127222543,2.36700687353293,combo_001,1
13,14.93016924,Si1,0.620419594,PU,2.205178207,0.837707523,1,324.615427,861.4573987,-0.017112899,0.009830814,1350.378556,,,12.507115092011192,1.368135767884588,combo_001,0
16,18.31462741,Si1,1.195628978,PU,2.96759448,2.46928919,1,350.0964385,682.2225619,-0.004935873,-0.005833305,1243.366911,,,45.2241114823907,3.5481419552408413,combo_001,0
17,19.61684961,Si1,0.267335985,Si1,2.771518957,2.498822917,0,319.4298072,588.8355179,-0.002406356,0.033207716,1527.551529,,,49.01903336481051,0.7409267503157676,combo_002,1
4,19.91349522,Si1,1.187382979,Si1,2.612928355,1.554368796,0,307.4596053,326.2104972,-0.003420812,0.052100438,1273.899542,,,30.95291558926316,3.1025466540734694,combo_002,1
8,19.84008977,Si1,1.446031707,Si1,1.621792601,1.960476204,1,345.041441,653.5259249,0.007302784,-0.014118715,1249.179793,,,38.89602387930883,2.3451635232239996,combo_002,0
2,14.35960742,Si1,0.909806341,PU,1.342507281,1.341048529,0,296.554949,323.4905883,-0.002448882,0.052088179,1299.395551,,,19.256930407608486,1.2214216370924689,combo_001,1
7,12.07595101,Si1,0.673006857,PU,2.209542808,1.465233089,1,284.1469935,912.7237972,-0.004391231,0.043034066,1308.005335,,,17.694083000994972,1.4870374606190344,combo_001,0
3,17.36933331,Si1,1.070433137,PU,2.816644937,2.225466385,0,285.2909191,299.5702767,-0.00347898,0.052099076,1279.517664,,,38.654867411265776,3.0150300757280775,combo_001,1
10,19.99040212,Si1,1.418939702,PU,1.604743594,1.141434706,0,275.1795747,282.9667974,-0.004397011,0.052093508,1172.799047,,,22.817738766663975,2.2770343970567692,combo_001,1
13,18.06215488,Si1,1.195025487,Si1,1.84562664,2.053744109,0,284.7201723,296.8605297,-0.004598751,0.052120232,1203.321083,,,37.09504418064561,2.205570874286174,combo_002,1
16,19.68445308,Si1,1.402237293,Si1,1.586528387,2.032911784,0,283.3394439,301.608093,-0.004470508,0.051991394,1310.310905,,,40.016756627927094,2.2246892706545363,combo_002,1
17,19.85882914,Si1,0.280977651,PU,2.613141404,0.656007532,0,249.3674314,242.7187642,-0.00049,0.052183594,1140.4908,,,13.027541492541083,0.7342343334267619,combo_001,1
8,16.24192967,Si1,1.034719675,PU,2.836829483,2.45307944,1,323.5419706,864.815727,-0.016272828,0.008334863,1244.39636,,,39.84274373940299,2.935323280680178,combo_001,0
12,16.41921662,Si1,1.108257857,PU,2.423502709,2.499755728,1,330.715406,598.3790411,-0.006822617,0.006822617,1242.653882,,,41.0440307951178,2.6858659187100344,combo_001,0
3,17.70499914,Si1,1.129362736,Si1,2.143116421,2.41375859,1,365.1560728,762.1742574,-0.005635175,-0.009969925,1243.767249,,,42.73559376011762,2.420355824787088,combo_002,0
2,19.78662156,Si1,1.325105509,Si1,2.212254194,1.971143976,1,355.2046734,813.9323627,-0.00436964,-0.002427578,1255.794575,,,39.002279893385726,2.9314702197777542,combo_002,0
4,19.53151999,Si1,1.421791953,Si1,1.303872737,1.548386718,0,314.8494542,337.7797039,-0.00239569,0.052073452,1250.701931,,,30.242346134867493,1.8538357652026856,combo_002,1
14,18.61331961,Si1,0.953054577,Si1,2.942399654,1.794251168,1,355.4805912,916.2151176,-0.005930379,0.004105647,1281.956442,,,33.39697045059981,2.8042674576079163,combo_002,0
4,19.92863376,Si1,1.26376363,PU,2.213804143,0.815428776,0,293.6737106,315.7038077,-0.00342346,0.052120485,1269.381601,,,16.250381434269077,2.7977251598667188,combo_001,1
