TP_NoTP,actual_label,oof_predicted_label,oof_is_error,oof_p_tp,oof_p_notp,is_boundary_band,ptp_distance_from_boundary,local_nn_dist,coverage_cell_key,A_Cell_D,C_Barrier_Thx,F_ThermalResin_Thx,G_CoolantLPM,B_Barrier_Type,discrete_combo_id,Eval#,MaxT_TB_Center,MaxT_TB_Top,MaxT_TB_Btm,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power,Unnamed: 16,CellD_x_Resin,oof_tmax_pred,oof_MaxT_TB_Top_pred,oof_MaxT_TB_Btm_pred,oof_MaxT_Adj_Y_pred,oof_MaxT_Adj_Z_pred,oof_Max_Power_pred,oof_Time_MaxT_pred
0,0,0,False,0.16952761675997863,0.8304723832400214,False,0.3304723832400214,0.23640782892788156,2_2_1_0,13.62064854,2.233007376,1.893774292,3.453895132,ETI,combo_001,1,123.7814469,114.8687825,121.4281739,166.9135213,-0.173679459,0.112040882,847.8564214,312.7,140.1,Initial,25.794434045419333,123.46738172582481,114.7768400707996,121.4228986818389,-0.3814963867193582,0.11262788837346387,846.8007937255672,315.9188200152117
1,1,1,False,0.9999843681642915,1.5631835708518338e-05,False,0.4999843681642915,0.26671276818730405,3_0_2_1,15.4212917,1.059793309,2.327644861,12.72983229,ETI,combo_001,2,115.9605143,99.130613,113.9749824,544.9556682,-0.214512458,0.092946689,2056.781355,117.000001,81.5,,35.89529037548695,160.4345797208603,133.95689230073737,146.41049357779517,-0.31854124036796466,0.11910647116536553,1886.2592056782141,243.54050529031616
1,1,1,False,0.9969410935603946,0.00305890643960538,False,0.4969410935603946,0.09607049648201903,3_0_0_1,14.69924287,1.403003879,1.409897549,12.63060293,ETI,combo_001,3,125.5401894,112.6551433,121.0941455,718.0871019,-0.177063498,0.105172378,1497.836541,185.300001,95.1,,20.72442649456873,140.11479109396794,130.87338725722472,132.65647112185093,-0.2880092209841651,0.11594841459510422,1491.7444814001924,244.12560419722357
1,1,1,False,0.988793815245117,0.011206184754882997,False,0.488793815245117,0.16508913188701602,2_0_2_0,13.11039268,1.394320747,2.213860506,0.822784095,ETI,combo_001,4,128.9743768,116.486459,127.1904038,592.1842414,-0.490351437,0.107866163,1498.568107,202.500001,90.4,,29.024580572403497,143.61123104201715,130.96218506040208,137.76674631319293,-0.3603827331949299,0.11193673269871095,1491.6139483360485,248.82819502734338
0,0,0,False,8.191949859792658e-06,0.9999918080501402,False,0.4999918080501402,0.2535921713239621,0_1_3_0,11.12368179,1.794243017,2.632029304,5.731029041,ETI,combo_001,5,130.0436429,120.3971253,129.3444118,182.1881694,-0.501700525,0.107203005,1084.736004,270.2,111.4,,29.27785643965117,130.87274899552844,121.26625046816946,129.6016373441225,-0.5164524372098701,0.10613709964059817,1085.7087430490642,278.2093130554084
0,0,0,False,0.34125831682979424,0.6587416831702058,False,0.15874168317020576,0.2356921467806825,1_3_1_3,12.12531974,2.726928024,1.762602773,25.79994151,ETI,combo_001,6,116.0698585,107.8407264,111.426216,145.5462318,-0.488265863,0.115023343,603.9073195,372.1,125.7,,21.37212219723564,116.59262979088044,108.36151911925508,112.38445807726994,-0.4391740288030851,0.11531422956639285,592.1209397103293,368.8352065724165
0,0,0,False,0.1005408978497826,0.8994591021502174,False,0.3994591021502174,0.2088362639444847,1_2_2_1,11.74369257,2.056341711,2.370376654,9.976600272,ETI,combo_001,7,125.4561819,115.1769443,123.6119816,171.1489608,-0.495937611,0.108404274,917.3473561,293.7,125.3,,27.836974699681264,126.28999403143894,116.6323023894268,125.52462083738803,-0.45291759787800956,0.10863834477534111,926.1414746945292,295.55963297533293
1,1,1,False,0.9999949707066662,5.029293333791429e-06,False,0.4999949707066662,0.14558246541680245,2_0_2_0,14.40380371,1.11969452,2.23841178,3.197426084,ETI,combo_001,8,116.8034285,99.1699396,114.1953321,541.7288928,-0.210051338,0.096010988,1934.580784,120.300001,81.0,,32.2416439012717,157.2629593928723,133.70685871290644,144.22579681205494,-0.29807528004813466,0.11688261725014465,1816.3430211029681,240.22281808317513
0,0,0,False,0.00033810651609655906,0.9996618934839034,False,0.49966189348390344,0.19606540774681339,1_0_1_2,11.72224902,1.437487493,1.970342224,19.34435109,ETI,combo_001,9,138.0473719,128.5805146,133.5062113,201.9928467,-0.509820703,0.111201797,1418.838351,239.5,90.1,,23.09684220434862,140.47768009673888,129.57792378999264,135.0775650537788,-0.4381933513794042,0.11054434494764019,1410.2322509870621,256.1066177072786
1,1,1,False,0.9999935903681489,6.409631851056474e-06,False,0.49999359036814894,0.1281502352543578,3_0_1_0,14.92665386,1.303068539,1.676088367,1.535872215,ETI,combo_001,10,118.7418755,102.782789,114.8147597,827.7120641,-0.189193703,0.100010609,1629.621841,149.100001,90.6,,25.018390892981646,146.47936826536352,132.61616519391362,137.3518782382655,-0.2924475709174565,0.11589988174442618,1601.159521846576,239.8353766176864
0,0,0,False,4.871036480835755e-07,0.9999995128963519,False,0.4999995128963519,0.1205139593422955,1_1_1_0,12.80941246,1.568575083,1.876953057,3.869547623,ETI,combo_001,11,134.5338733,127.2450259,132.0332797,196.6844954,-0.499013775,0.110469111,1306.870367,249.6,103.6,,24.04266587517089,135.5678370693477,127.05751409387894,132.26883209804404,-0.44347104815685,0.11037718988243185,1307.5605909021342,251.49530652796543
0,0,0,False,0.0006999043907853775,0.9993000956092146,False,0.4993000956092146,0.14732445446995154,0_1_2_3,11.00913509,1.580750537,2.374964595,26.98310887,ETI,combo_001,12,134.2584278,125.9839397,132.2505457,193.6550559,-0.503866221,0.108311476,1167.100043,263.5,104.9,,26.146306060322136,136.89644773888702,126.55430659155193,134.4508259214021,-0.49048468286993885,0.10860543946900778,1208.8923617017156,268.7367382896782
0,0,0,False,0.3481895727051665,0.6518104272948335,False,0.15181042729483352,0.3338933483146959,2_3_2_2,14.16822658,2.916410365,2.176198223,18.9450193,ETI,combo_001,13,116.9335441,109.5021505,115.0962216,145.3189588,-0.479486579,0.133631258,607.1829829,393.6,167.4,,30.83286950645737,115.6140676891774,108.36071172795235,113.92348136107128,-0.35791665002068046,0.12473574028849599,598.7932431832102,396.69654742428924
