sampling_rank,selected_bucket,selected_model_kind,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,discrete_combo_id,p_tp,p_notp,boundary_score,clf_uncertainty_raw,clf_uncertainty_scaled,tmax_pred_given_notp,tmax_std_given_notp,notp_window_score,local_sparsity,combo_priority,acq_boundary,acq_notp_high_tmax,acq_uncertainty_sparse,acq_misclass_repair,CellD_x_Resin,Barrier_x_Outer
1,boundary,gp,12.370636369530729,0.48083924368222697,1.4218204076255083,0.6537279498132003,Si1,Si1,combo_002,0.49703394656198707,0.5029660534380129,0.9940678931239741,0.21006401321418106,0.6869063967128534,281.58513449055295,8.499704288513101,0.0,0.24376693190696574,0.9999999439999999,0.8591945250766101,0.5583563715520564,0.48291635378445247,0.040843579370163925,8.087030751737935,0.6836670494546051
2,boundary,gp,15.58579456414245,0.7592966195781088,2.6400984056602597,1.1186210426840502,Si1,PU,combo_001,0.4932726560623326,0.5067273439376674,0.9865453121246652,0.23027283406549431,0.7530615740231401,291.74477399812235,7.853630017687998,0.0,0.18419223378977911,0.9999999259999999,0.8545356159074353,0.5987507930550168,0.4571387965100955,0.17759404732084957,17.43459776640043,2.0046177947713897
3,boundary,gp,17.369333311009797,1.0704331373663591,2.816644936912657,2.2254663854090424,Si1,PU,combo_001,0.4979787880509243,0.5020212119490757,0.9959575761018487,0.22471033909392404,0.734852305712075,301.7936023426969,7.790014987437256,0.0,0.1469976337359852,0.9999999259999999,0.853262629784556,0.651055179932405,0.4412482313944047,0.26248327366157054,38.65486742061785,3.015030076666486
4,boundary,gp,16.375122936026674,0.7245799824259507,2.4095970324908134,0.6888848207467867,Si1,PU,combo_001,0.5016326850397523,0.49836731496024766,0.9967346299204953,0.19173103488148968,0.6268919386131849,290.9475585213142,8.148253117593574,0.0,0.22608237228933323,0.9999999259999999,0.8513746638905466,0.603617033573516,0.4375017858861493,0.21463697830207062,11.28057362849133,1.7459457754558165
5,boundary,gp,15.885065396327459,0.64515504262233,2.5346032670008056,0.6592491559271902,Si1,PU,combo_001,0.4975824505906221,0.5024175494093779,0.9951649011812442,0.19600653892213868,0.6408881400729847,290.89137282898304,8.123884802781674,0.0,0.2205329519067508,0.9999999259999999,0.8513349588503862,0.6023115454640922,0.4400595064350732,0.21716664055460397,10.472215954377095,1.6352120787526017
6,boundary,gp,12.242356200819781,0.467809631309075,1.1649092763021867,0.5821903897050507,Si1,Si1,combo_002,0.5104940836473091,0.4895059163526909,0.9790118327053818,0.20908053871045273,0.6836869149502612,281.3432219043476,8.702373840077342,0.0,0.24806923647179271,0.9999999439999999,0.8500932724147673,0.560995497087154,0.4949812756414518,0.01627574239074185,7.127382127463312,0.5449557790554473
7,boundary,gp,18.476012835658707,0.8827890063656502,2.968976736480398,0.8732897212392181,Si1,PU,combo_001,0.4975813193508438,0.5024186806491562,0.9951626387016876,0.13473059378542784,0.4402964754132881,294.4878715544677,8.501428203734042,0.0,0.35240088658311786,0.9999999259999999,0.8449427075821274,0.642629843485177,0.41300469196129896,0.11246255967708352,16.134912098864607,2.6209800231202616
8,boundary,gp,16.565476815682604,0.7017003459814087,2.4187250918471266,0.8180377959010783,Si1,Si1,combo_002,0.5008617213462965,0.4991382786537035,0.998276557307407,0.141158275886923,0.46133800239040196,291.41694876964914,8.137428095244257,0.0,0.31668040367787426,0.9999999439999999,0.8446406960012096,0.6151548576721702,0.3924774853332047,0.01997469727436543,13.55118614235141,1.6972202337830433
9,boundary,gp,18.19534416947426,1.1175991387573565,2.9225440882293245,2.1403190030062205,Si1,PU,combo_001,0.5209358782628044,0.4790641217371956,0.9581282434743912,0.23312172983822518,0.7623876602094745,302.233538188682,7.859300870822256,0.0,0.2122679491323269,0.9999999259999999,0.8418247822867402,0.6613096679327759,0.46496534195094263,0.31619834427025534,38.9438408921642,3.266232755985497
10,boundary,gp,19.99040211724409,1.4189397021790129,1.6047435944258506,1.1414347063308088,Si1,PU,combo_001,0.4951565630545005,0.5048434369454995,0.990313126109001,0.0772030793730167,0.25197559592338825,285.2915777781117,8.574794728574371,0.0,0.49363921770491676,0.9999999259999999,0.8382562360783754,0.605750785475272,0.37281993783269785,0.038763080069071136,22.81773877013129,2.277034397948295
