sampling_rank,selected_bucket,selected_model_kind,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,discrete_combo_id,p_tp,p_notp,boundary_score,clf_uncertainty_raw,clf_uncertainty_scaled,tmax_pred_given_notp,tmax_std_given_notp,notp_window_score,local_sparsity,combo_priority,acq_boundary,acq_notp_high_tmax,acq_uncertainty_sparse
1,boundary,gp,10.469265107193191,0.7568325864251455,2.2761351591824583,1.0790618190534516,A1,Si2,combo_009,0.4980875535334208,0.5019124464665792,0.9961751070668416,0.18456349712194076,0.6951000703641658,359.8862656069422,1.7080546409089155,0.0,0.5930610981498109,0.84375,0.8801826142734964,0.5034690205859426,0.5190604338263235
2,boundary,gp,11.92896356423426,0.7550740145500667,2.084783466045908,1.0301130510351957,A1,Si2,combo_009,0.4975175264043985,0.5024824735956015,0.995035052808797,0.1546537806061784,0.5824350787389747,380.6370782682493,1.5756531889677474,0.0,0.5977239079912424,0.84375,0.8631990415009638,0.5647787535271276,0.4677790631639055
3,boundary,gp,15.269452430433624,0.5862534660169223,2.7751459012085338,2.0929334986451797,A1,Si1,combo_008,0.5177205899506632,0.48227941004933683,0.9645588200986737,0.243337474377691,0.9164919933470737,425.49008968899045,2.0239050384805766,0.0,0.44240414568705133,0.71875,0.859433450535871,0.6881473430793243,0.585133063711214
4,boundary,gp,14.724740122314593,0.7378874501156387,2.262370656977287,2.450258183273396,A1,Si1,combo_008,0.49649096800094306,0.5035090319990569,0.9929819360018861,0.20282050075037605,0.7638712056510799,420.37021659515705,2.05882869186299,0.0,0.4658093150826429,0.71875,0.8564362454418212,0.6755369715971513,0.5385363728755694
5,boundary,gp,11.087925984621608,0.690799484826589,2.4280616127089063,1.3112527732716188,A1,Si2,combo_009,0.5039746379596615,0.49602536204033854,0.9920507240806771,0.17464264588320316,0.6577298525241506,370.8456594690219,1.635148753012389,0.0,0.466622185882765,0.84375,0.856002112406678,0.5228784997759371,0.4801055318071471
6,boundary,gp,8.727032378114618,1.4163553936806113,1.7438248476542113,2.32242794587702,A2,Si1,combo_012,0.49887241400423,0.50112758599577,0.99774482800846,0.1232776921882706,0.46424650490304736,331.0229830019616,2.3095065056428763,0.0,0.597519085978759,0.90625,0.8550257068627826,0.4368340992368019,0.5053066102492414
7,boundary,gp,8.609433470465016,0.8725683697584278,2.6669199163533035,1.5537091329327815,Si2,Si2,combo_004,0.5139902169463824,0.48600978305361764,0.9720195661072353,0.13976489617886914,0.5263510955147532,330.053685520322,2.403406516189832,0.0,0.6320400811952489,0.90625,0.8534362915134123,0.4398192714319657,0.5411205251834568
8,boundary,gp,9.422287350940914,0.7973257415686038,2.392517296674977,0.7077945481963256,A1,Si2,combo_009,0.48563064078086526,0.5143693592191347,0.9712612815617305,0.17872004562671953,0.673088747942425,340.5958002007279,2.0829019630076298,0.0,0.5176473893723401,0.84375,0.8524419418655668,0.4461833179137268,0.535569713086196
9,boundary,gp,14.88803733849653,0.8202923848408991,1.9803329278225854,2.450895656116954,A1,Si1,combo_008,0.4944447366053719,0.5055552633946281,0.9888894732107438,0.19256228913340143,0.725230206653085,421.9943823335708,2.2287981634958403,0.0,0.4956918295081423,0.71875,0.8520151008206435,0.6881704685315694,0.5456028686830986
10,boundary,gp,11.378849521281543,0.7251952978712211,2.260205223388114,1.1557109490826705,A1,Si2,combo_009,0.5135636879836163,0.4864363120163837,0.9728726240327674,0.17157292940942515,0.6461667345444918,373.8352477108483,1.6150941297821724,0.0,0.5245133907282026,0.84375,0.8502378037990161,0.537406870257998,0.48284149014934186
11,boundary,gp,8.535775996665455,1.473840031498847,1.6007982111330286,1.9808085130643456,A2,Si1,combo_012,0.5015127646778019,0.4984872353221981,0.9969744706443961,0.11112916382453737,0.4184849930666817,325.12180774067167,2.2950647217436453,0.0,0.6168251380770935,0.90625,0.8501646390982475,0.42005125986910624,0.49081730185175465
12,boundary,gp,14.994183516377351,0.6615058575320545,2.532278429550269,1.84839762859541,A1,Si1,combo_008,0.4875436014646439,0.5124563985353561,0.9750872029292879,0.23245136077251582,0.8754857906466373,421.32860571809476,1.6823418191596533,0.0,0.35451837757914045,0.71875,0.8483414724812622,0.6571890720783244,0.5252271539122141
13,boundary,gp,11.79974331422947,0.6943232645861962,2.3407684308256456,1.2897676525773463,A1,Si2,combo_009,0.5016148979891342,0.49838510201086583,0.9967702040217317,0.1567098759665495,0.5901800523977764,380.576521707428,1.5775426834273274,0.0,0.444209967486107,0.84375,0.8458201751070754,0.5492905027113953,0.4476417853886192
14,boundary,gp,13.912766981620878,1.2896060480629041,1.120376200578679,0.5432329533057404,A2,Si1,combo_012,0.5032507714323851,0.49674922856761494,0.9934984571352299,0.09827176787850729,0.370053293427608,398.66964523518436,2.4299142221723398,0.0,0.6048439265571072,0.90625,0.8393040516456342,0.6508611700709976,0.4848490785215004
15,boundary,gp,9.316303190444586,0.926802901962071,1.6718804333226127,0.6694350034247454,A1,Si3,combo_010,0.48638673930600973,0.5136132606939903,0.9727734786120195,0.1285751345623975,0.4842011006078046,339.57449343029833,2.2501947490361554,0.0,0.5928813057747248,0.875,0.8385852513515997,0.45819062366495966,0.5012864155105278
16,boundary,gp,12.601288192358416,0.798521166231707,2.082164181976064,1.0684162910598332,Si1,PU,combo_001,0.4833597025448313,0.5166402974551687,0.9667194050896626,0.15475499959968417,0.5828163540696729,385.02854978866264,1.7909787975147546,0.0,0.45207340443051003,0.90625,0.8358067332036903,0.5759292274135908,0.4758469265256065
17,boundary,gp,12.894284531168879,1.1099025927994641,1.9859719297282385,1.1101285747923906,A2,Si3,combo_014,0.5050191470251626,0.4949808529748374,0.9899617059496748,0.1152045960319352,0.43383647709942186,391.14717677365996,1.6343872368482086,0.0,0.4958135616435397,0.90625,0.832865790714521,0.5950606204040387,0.4154243858182159
18,notp_high_tmax,gp,15.938453239890848,1.0712800493005894,1.1860656670869523,0.5847955702885298,Si3,Si3,combo_006,0.48434403235996015,0.5156559676400398,0.9686880647199203,0.11332577822842488,0.4267592788924045,428.7225130513816,3.0578854288364177,0.0,0.6791257635340965,0.90625,0.8425187001928106,0.7686038009845941,0.575352985175307
19,notp_high_tmax,gp,11.987739751168602,0.47960454141696846,2.9753455456131586,2.39188912154719,A1,Si3,combo_010,0.3877423126879762,0.6122576873120238,0.7754846253759524,0.09140350583357894,0.34418167791551607,388.73915719946314,1.8838340185436822,0.08171791541349208,0.5144788745940951,0.875,0.6901991602967663,0.5930800598945755,0.4057982517946117
20,notp_high_tmax,gp,9.896812238609748,1.5577240691876701,1.1782159887497068,2.4601997903725326,Si3,Si3,combo_006,0.23845878547103894,0.7615412145289611,0.4769175709420779,0.058029444621852,0.21846706858659548,339.12875802059705,2.9179113820637785,0.9230585698069262,0.795197574184142,0.90625,0.5334705807070038,0.49824367593442237,0.506595762724225
21,uncertainty_sparse,gp,8.028785440691356,0.6263228766614382,2.5580235702916094,1.411863550372571,A1,Si2,combo_009,0.7891335990631205,0.21086640093687947,0.42173280187375894,0.23711803980477214,0.8930644043994468,334.4369965471987,2.3500623458646652,0.0,0.5908778319405622,0.84375,0.5678057263472253,0.4416182150703264,0.648865274053996
22,uncertainty_sparse,gp,8.400688667846607,0.43680439737330345,2.9636941133239505,1.6870941340614825,A1,Si2,combo_009,0.8489930566663588,0.15100694333364117,0.30201388666728235,0.22407646518400853,0.8439389339305675,346.39749630122157,2.398435081770109,0.0,0.6093676363254404,0.84375,0.49156160128811177,0.48191284381886157,0.639029245561141
23,random_check,gp,8.464429441433898,0.26655356762064786,2.515364023178747,1.3089174459154789,A1,PU,combo_007,0.9983600096285272,0.001639990371472777,0.003279980742945554,0.011180116819240322,0.04199334233962714,356.7735987359343,2.5545595623869315,0.0,1.458758803986093e-10,0.71875,0.09989121491159586,0.44492007133317557,0.2629894839827019
