segment,n,accuracy,tp_recall,tp_f1,error_rate
Boundary,42,0.47619047619047616,0.5238095238095238,0.5,0.5238095238095238
Non-boundary,216,0.9259259259259259,0.944,0.9365079365079365,0.07407407407407407
Overall,258,0.8527131782945736,0.8835616438356164,0.8716216216216216,0.14728682170542637
