discrete_combo_id,B_Barrier_Type,D_Barrier_Outer_Type,n_total,n_notp,n_tp,notp_ratio,tp_ratio,notp_tmax_min,notp_tmax_mean,notp_tmax_max
combo_001,Si1,PU,10,6,4,0.6,0.4,252.4835562,273.3847706,316.0584203
combo_002,Si1,Si1,10,6,4,0.6,0.4,245.0885392,269.1817387166667,282.7999181
combo_003,Si2,PU,10,2,8,0.2,0.8,252.4210643,256.9779778,261.5348913
combo_004,Si2,Si2,10,5,5,0.5,0.5,252.6213719,259.93727723999996,266.1618741
combo_005,Si3,PU,10,6,4,0.6,0.4,262.6465575,279.28566373333337,318.8175206
combo_006,Si3,Si3,10,6,4,0.6,0.4,260.0748074,272.99010265000004,283.894797
combo_007,A1,PU,10,5,5,0.5,0.5,246.83899,276.00186736,333.9812838
combo_008,A1,Si1,10,4,6,0.4,0.6,247.3061602,259.72429927499996,279.8087117
combo_009,A1,Si2,10,6,4,0.6,0.4,248.1744821,268.79833909999996,284.4737925
combo_010,A1,Si3,10,5,5,0.5,0.5,250.8540306,266.43771874,284.2364314
combo_011,A2,PU,10,4,6,0.4,0.6,267.5789112,288.30836739999995,327.5472862
combo_012,A2,Si1,10,3,7,0.3,0.7,254.4653383,267.89563236666663,283.9712393
combo_013,A2,Si2,10,4,6,0.4,0.6,262.3759922,290.479498075,334.1010524
combo_014,A2,Si3,10,5,5,0.5,0.5,264.352357,273.74423054000005,283.7898614
