A_Cell_D,C_Barrier_Thx,F_ThermalResin_Thx,G_CoolantLPM,B_Barrier_Type,discrete_combo_id,CellD_x_Resin,selected_model_kind,p_tp,p_notp,boundary_score,clf_uncertainty_raw,clf_uncertainty_scaled,tmax_pred_given_notp,tmax_std_given_notp,MaxT_Adj_pred_given_notp,MaxT_Adj_std_given_notp,tmax_scaled,notp_window_score,local_sparsity,combo_priority,acq_boundary,acq_notp_high_tmax,acq_uncertainty_sparse,MaxT_TB_Top_pred_given_notp,MaxT_TB_Top_std_given_notp,MaxT_TB_Btm_pred_given_notp,MaxT_TB_Btm_std_given_notp,MaxT_Adj_Y_pred_given_notp,MaxT_Adj_Y_std_given_notp,MaxT_Adj_Z_pred_given_notp,MaxT_Adj_Z_std_given_notp,Max_Power_pred_given_notp,Max_Power_std_given_notp,Time_MaxT_pred_given_notp,Time_MaxT_std_given_notp,acq_misclass_repair
15.230790034583217,1.4795224207741826,1.3401947214984382,1.039475335653409,ETI,combo_001,20.412224408599442,hybrid,0.5003367,0.4996633,0.9993266,0.3471887,0.9739472464050994,137.3007477171367,1.623194289950211,137.3007477171367,1.623194289950211,0.4744450678157699,0.0,0.17324756059715093,0.9999997549999997,0.8901946244476439,0.39834888729827395,0.43010071862524146,129.75337545709,0.743787284220832,131.75004489051108,1.2845272635290097,-0.254643759437041,0.017424183561502184,0.11625544772802464,0.0008540244882951583,1414.6520361590963,7.597568389556941,248.6407971437663,6.8227530226026625,0.0873417927134032
10.026237646569209,1.2467452064996496,1.276935735495928,1.9711077054302986,ETI,combo_001,12.802861143478816,hybrid,0.4996306,0.5003694,0.9992612,0.3564759,1.0,145.29919496029478,1.8154551495416784,145.29919496029478,1.8154551495416784,0.6245117514231011,0.0,0.10106439166696062,0.9999997549999997,0.8848519765696176,0.5179361174546626,0.4530939869313348,131.40710790017852,0.8428291312577469,133.29982599314454,1.3722966487389399,-0.43965157309289904,0.02218042940305584,0.10725889133790605,0.0013132882663610386,1600.8048065507496,14.667445556646236,241.1862614479674,7.7874540749656385,0.035588458627760895
10.223776188581207,1.2392642479477254,1.294826199068172,5.582562962698149,ETI,combo_001,13.238013262384285,hybrid,0.5005535,0.4994465,0.998893,0.30217445,0.8476714911509216,145.834478739203,1.8211477172536408,145.834478739203,1.8211477172536408,0.6345547333979176,0.0,0.18571253030605978,0.9999997549999997,0.8725293223891084,0.5346352398401902,0.40989190288658106,131.64494636414133,0.844200124286563,133.72740882826685,1.3490657229606633,-0.43479357176851235,0.020992099002480124,0.10916480179836863,0.0011390183470604872,1620.255607970042,10.46300326724189,241.6827352956327,7.474201718172378,0.06347832641967496
15.043180114473564,1.491429289024754,1.2043973136783084,8.612080624316633,ETI,combo_001,18.117965719050908,hybrid,0.49692902,0.50307095,0.99385804,0.32078725,0.8998848457351551,136.13023989273177,1.628861356009972,136.13023989273177,1.628861356009972,0.45248402687808864,0.0,0.14090122248048767,0.9999997549999997,0.8710100931490513,0.3777444480603643,0.3948026000295378,129.4154225636482,0.7385296563360217,130.24549742674253,1.2988868921191548,-0.2535455415659276,0.018743980634909622,0.1163304820466,0.0007683819001810329,1400.3429778568175,7.182520608988182,248.41785630877894,6.805254025958948,0.1951913673719866
10.77067966734522,1.306884976944571,1.3743405966071167,21.46077499924121,ETI,combo_001,14.802582319883372,hybrid,0.48628205,0.51371795,0.9725641,0.29327938,0.8227186973766011,143.33912738604013,1.679383197094623,143.33912738604013,1.679383197094623,0.5877370085795735,0.0,0.3387269119796488,0.9999997549999997,0.8692730934202113,0.5075037291083774,0.4105985855335847,131.19523979767231,0.7593592581262295,132.99826923011472,1.2778808460065056,-0.4111743592033989,0.024721360062253367,0.11240576405728617,0.000859261077462325,1512.349022408161,8.769864036920902,243.77640509688914,6.735458835194999,0.2339989321396544
14.849185895341567,1.4920560981170408,1.3585889798925976,10.34391815464129,ETI,combo_001,20.173940317787647,hybrid,0.4996373,0.5003627,0.9992746,0.32276067,0.905420761174796,136.8059502598573,1.609886691116515,136.8059502598573,1.609886691116515,0.4651616892781701,0.0,0.08963757046103249,0.9999997549999997,0.8692178269945346,0.3820938226683543,0.38409867536098474,129.43067107433967,0.7306443705410591,131.2792666558061,1.255349503466882,-0.25983366938497887,0.017499126815291186,0.11559246855146389,0.0006681804257380782,1400.7741725459457,6.955646018528623,248.03368569058674,6.559861865162007,0.27598506796078526
11.671496544830044,1.3545213870171329,1.2615776408087866,23.67649213792317,ETI,combo_001,14.724499075734592,hybrid,0.4957707,0.5042293,0.9915414,0.30102026,0.844433728444269,140.9435683508216,1.6501505046623874,140.9435683508216,1.6501505046623874,0.5427915849402122,0.0,0.1383825021900086,0.9999997549999997,0.8606975306884446,0.4504862972460088,0.37510910811506215,130.71016799637957,0.7390189867536701,131.28755233159964,1.2660372673624185,-0.3799510720899248,0.01893288304346976,0.11340827743630053,0.0007649979583635182,1460.656467814861,7.665881159146134,240.340660850925,6.622830144871335,0.4475945979802755
10.8484970551223,1.2638317741915608,1.3882980436467072,4.642301867282301,ETI,combo_001,15.060947238133352,hybrid,0.48642334,0.5135766,0.9728467,0.30379814,0.852226329711752,145.42117049977796,1.7410573676112147,145.42117049977796,1.7410573676112147,0.6268002536954782,0.0,0.2350357485390658,0.9999997549999997,0.8606827608401654,0.5305512053325261,0.4103273916814615,131.59101448371726,0.7988654029119778,134.33759471520938,1.2901355879697238,-0.42220607418273626,0.021849814568658397,0.1122381473705989,0.0008684236846655004,1602.6652215443044,9.403838609057125,241.28270233230594,6.89426932144096,0.1044963162460866
15.274729392496583,1.4830383434109349,1.392103770768286,0.7554641661161756,ETI,combo_001,21.264008384759663,hybrid,0.4833606,0.5166394,0.9667212,0.34137714,0.9576443988826848,137.42411321818588,1.620786401534376,137.42411321818588,1.620786401534376,0.4767596485151482,0.0,0.1398832625468179,0.9999997549999997,0.8599378247725761,0.3967795570269249,0.416568459902936,129.73933638856352,0.7427383428326796,132.09344972675245,1.2770073307137104,-0.2547162851665142,0.017204694414688287,0.11611087105213155,0.000829649085406599,1411.4787760906584,7.62570188600671,249.66791447750322,6.78396393420396,0.08881772517884401
15.928463690629014,1.517741869677516,2.0414721716152817,6.082490935186676,ETI,combo_001,32.51751536100358,hybrid,0.4883048,0.5116952,0.9766096,0.2885166,0.8093579936564101,138.60480455429143,1.6138173498709047,138.60480455429143,1.6138173498709047,0.4989117522656395,0.0,0.23107805388968006,0.9999997549999997,0.8564665914215625,0.423375966111598,0.37451384388097364,129.85368808232522,0.7344650712174483,135.3324471750608,1.2479392404806378,-0.2519511521072978,0.01835899907973025,0.11453596406410299,0.0007899302383086186,1390.172509494634,7.35214119232043,266.4753028787657,6.665777361881715,0.14777539832927716
13.018541026681184,1.3681364246115928,1.4178402493585207,3.503766990661843,ETI,combo_001,18.458211455553784,hybrid,0.49546927,0.5045307,0.99093854,0.2745378,0.7701440958223343,141.59611743501185,1.6183719019096516,141.59611743501185,1.6183719019096516,0.5550346958814261,0.0,0.14794550567613832,0.9999997549999997,0.8503377779956174,0.460121022021447,0.34284159845893053,130.85198932131794,0.737300886372855,133.30551760736495,1.236771203513465,-0.3405962914195813,0.015578080873626905,0.11429671476257204,0.0006034847718714608,1514.190210796009,7.187584848589808,234.8552160777861,6.439026174972615,0.3797608401901807
14.60121800735705,1.4731299472439559,1.2192047604272376,9.931366787991779,ETI,combo_001,17.801874502605617,hybrid,0.5266249,0.47337508,0.94675016,0.3208175,0.8999697024059683,136.76746266827163,1.6227656347667965,136.76746266827163,1.6227656347667965,0.46443958596815144,0.0,0.1950084694082631,0.9999997549999997,0.8438860513733211,0.3925055383339807,0.4048016653185729,129.58711508668682,0.7340737814348758,130.3928751393318,1.2773278846364322,-0.26872673021086885,0.01924304199127323,0.1156526010330835,0.0007673976780016193,1416.238255049344,6.998863928615685,243.47973183154903,6.6653873447849765,0.3058391975051079
