Eval#,A_Cell_D,B_Barrier_Type,C_Barrier_Thx,D_Barrier_Outer_Type,E_Barrier_Outer_Thx,F_ThermalResin_Thx,TP_NoTP,MaxT_TB,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power,Time_TP,Unnamed: 16,CellD_x_Resin,Barrier_x_Outer,discrete_combo_id,oof_predicted_label
23,10.80084342,Si1,0.912411599,Si1,1.343782688,2.261104933,1,366.059186,1039.822171,0.000260871,0.044087199,997.6339585,178.000002,85.1,,,24.42184033752259,1.226082911066598,combo_002,0
11,10.29484076,Si1,0.652583369,Si1,2.75909886,2.113774311,1,357.9663255,999.5243449,0.009680619,0.040460023,966.8617589,179.000002,80.9,,,21.760969934323715,1.8005420294628594,combo_002,0
12,11.51866801,Si1,1.072443798,Si1,1.15773035,1.263005896,0,364.1421965,284.8933776,0.001394084,0.055352853,971.0141663,195.5,82.8,,,14.548145610696587,1.2416007336138692,combo_002,1
10,10.88312966,Si1,1.042944655,PU,1.64738265,1.665442934,1,357.621085,911.564777,0.000788785,0.040753879,983.1688155,183.000002,84.1,183.000002,,18.12523139205282,1.718128929557236,combo_001,0
14,13.87305012,Si1,0.828311041,PU,2.576551261,2.486761632,1,409.3301266,551.2853434,-0.027351776,0.033429949,1213.478957,226.000002,94.3,226.000002,,34.498968757228994,2.134185857188773,combo_001,0
15,11.8240527,Si1,0.773310662,PU,2.825580569,2.034109142,0,383.0972791,284.3600753,0.002578062,0.055249327,1075.110421,206.0,85.3,212.000002,,24.051413692559784,2.1850515803477264,combo_001,1
4,14.50517256,Si1,0.645384201,Si1,2.504354529,0.639435453,0,402.5769513,283.5602467,-0.000353479,0.055321382,1221.505054,217.1,96.9,225.000002,,9.27512158674677,1.6162708467193965,combo_002,1
7,14.55819214,Si1,0.627661419,Si1,2.60877563,0.617539996,0,403.1498806,284.4892731,0.002483633,0.055424771,1224.393,217.0,96.9,224.000002,,8.99026591590283,1.637427813778419,combo_002,1
14,13.67728957,Si1,0.77489739,Si1,1.812538212,1.284222011,1,400.6119311,846.2902068,0.024958669,0.032945443,1183.386676,210.000002,95.1,210.000002,,17.564676316614726,1.4045311297540668,combo_002,0
16,9.992472605,Si1,0.952707422,PU,2.379606768,1.889296656,1,350.43092,873.0076414,-0.000240662,0.041634483,925.8957658,176.000002,80.1,176.000002,,18.878745077798108,2.267069029315032,combo_001,0
18,10.83553945,Si1,0.650975953,Si1,2.400359264,2.458087857,0,369.6356158,284.7000084,0.000261739,0.055232543,1006.70706,198.7,82.5,205.000002,,26.634707946089463,1.5625761594247787,combo_002,1
5,15.50297621,Si1,0.726578347,Si1,2.103979977,1.478863562,1,421.69123,911.7030079,0.004919519,0.037464026,1297.844057,221.000002,101.6,221.000002,,22.92678661952186,1.528706293809758,combo_002,0
15,15.99185854,Si1,0.871416724,PU,2.865332724,1.870667941,0,426.9272509,277.3833704,-0.000390647,0.055095255,1334.110495,258.7,103.1,267.000002,,29.915457087785068,2.496898855518076,combo_001,1
17,11.88631635,Si1,0.515519353,Si1,2.93656055,2.129931783,0,384.2184699,284.5198441,-0.00144004,0.055398758,1080.200494,209.5,86.4,217.000002,,25.31704297665755,1.513853794781324,combo_002,1
1,15.40154821,Si1,0.789994775,PU,2.323404217,0.662406689,1,420.9046211,926.4823212,0.000375889,0.034205876,1339.175827,215.000002,99.8,215.000002,Itr_5,10.202088555259976,1.8354771916429664,combo_001,0
2,15.06063858,Si1,0.790202334,PU,2.34707222,0.62526591,1,417.7813849,554.4796855,-0.001102098,0.039308162,1314.298943,208.000002,98.5,208.000002,,9.416903886904809,1.8546619463105611,combo_001,0
3,15.9045163,Si1,0.739253646,PU,2.439871738,0.520764759,0,428.6369794,282.97368,-0.000388463,0.055330873,1385.496211,226.2,101.6,233.000002,,8.28251159798107,1.8036840780888566,combo_001,1
6,11.36352905,Si1,1.0624134,PU,1.577584073,0.610278891,0,354.8480064,284.2610169,0.000274938,0.055243825,1001.477206,192.3,86.2,197.000002,,6.934921906480284,1.6760464587817783,combo_001,1
11,10.59219942,Si1,0.999397667,Si1,1.152991192,0.812184247,1,352.1690212,858.9522619,0.000766965,0.045762245,936.041286,151.000002,78.1,151.000002,,8.602817510006536,1.152296707356349,combo_002,0
15,15.98699135,Si1,0.760847496,PU,2.786368571,1.162305709,0,428.7951544,280.8678106,-0.000390525,0.055086733,1371.536449,240.4,102.1,248.000002,,18.581771315838616,2.1200015501784484,combo_001,1
16,13.95151808,Si1,0.836233846,PU,2.825356957,2.258623674,1,409.4056102,527.4216972,-0.026831402,0.031586334,1218.809842,235.4,94.3,235.4,,31.511229023727022,2.3626591144749662,combo_001,0
18,9.973421096,Si1,0.638943298,Si1,2.928297126,2.478759423,1,355.7423844,910.5238243,0.000720557,0.039630608,950.4261851,172.000002,79.7,172.000002,,24.721711521256985,1.8710158232103615,combo_002,0
19,15.25135761,Si1,0.745185201,Si1,2.050812275,1.533665069,1,417.758444,842.3905161,0.000372134,0.036841266,1282.863874,224.000002,101.0,224.000002,,23.390474421284324,1.5282349573591423,combo_002,0
20,11.58914386,Si1,0.759412684,PU,2.962953811,2.459384004,0,382.4253342,284.9485127,0.001402893,0.055246703,1061.676781,204.9,84.6,212.000002,,28.502155029338816,2.2501047061795387,combo_001,1
5,15.51130038,Si1,0.959867608,PU,1.96326713,2.458209077,1,423.3303714,559.9176405,0.000378633,0.039756413,1340.543418,225.000002,101.6,225.000002,,38.130019390189545,1.8844765239381251,combo_001,0
6,11.44535656,Si1,0.829138704,Si1,1.72093207,1.145548873,0,367.1750926,283.9288137,0.00138492,0.055171409,1024.111155,198.9,86.2,205.000002,,13.111215308391158,1.4268913861918373,combo_002,1
9,10.23474041,Si1,0.839176632,Si1,2.126943954,1.010266646,1,345.9111612,845.7693149,-0.000740156,0.039228242,933.1557173,181.000002,81.0,181.000002,,10.339816866691367,1.7848816637704832,combo_002,0
10,8.273551543,Si1,1.03447117,PU,2.993400399,1.304511683,0,317.2930329,283.0164465,0.000197689,0.055426425,804.0051001,168.6,72.9,173.000002,,10.792944647746177,3.096586413031997,combo_001,1
15,11.92889038,Si1,0.508914899,Si1,2.825672635,2.335557432,0,386.8344467,284.8641923,-0.001445361,0.055211864,1086.599792,210.1,86.3,217.000002,,27.860608582522303,1.4380269036480888,combo_002,1
17,10.51798946,Si1,0.633034605,Si1,2.356952197,2.41433724,1,367.7269572,846.6896198,0.0002538,0.042892158,993.2576964,168.000002,81.5,168.000002,,25.39397364320549,1.492032303031777,combo_002,0
18,15.92794197,Si1,0.76499303,PU,2.776086256,1.264972196,1,427.706501,527.2850338,0.004279534,0.043184384,1366.430377,215.000002,102.0,215.000002,,20.148403731551465,2.1236866365187956,combo_001,0
