discrete_combo_id,B_Barrier_Type,D_Barrier_Outer_Type,n_total,n_notp,n_tp,notp_ratio,tp_ratio,notp_tmax_min,notp_tmax_mean,notp_tmax_max
combo_001,Si1,PU,145,62,83,0.42758620689655175,0.5724137931034483,212.714978,285.60201305322573,323.6695681
combo_002,Si1,Si1,131,59,72,0.45038167938931295,0.549618320610687,223.556,287.1486782101695,326.8000275
