sampling_rank,selected_bucket,selected_model_kind,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,discrete_combo_id,p_tp,p_notp,boundary_score,clf_uncertainty_raw,clf_uncertainty_scaled,tmax_pred_given_notp,tmax_std_given_notp,notp_window_score,local_sparsity,combo_priority,acq_boundary,acq_notp_high_tmax,acq_uncertainty_sparse
1,boundary,gp,14.588292010315525,0.5243815097984665,1.9314047532743646,1.5074609305682884,A1,Si1,combo_008,0.5078643050976162,0.49213569490238385,0.9842713898047677,0.23003135122468746,0.9743590409984267,434.3587119141032,1.7496861353178421,0.0,0.38019406251442,0.9375,0.9085728219299819,0.7092041795621488,0.613711188935558
2,boundary,gp,14.979959866925878,0.6760475127783392,1.404577588793432,1.410415947858168,A1,Si1,combo_008,0.49868289022853807,0.5013171097714619,0.9973657804570761,0.20365691021094423,0.8623630396965434,437.8681166495339,2.2715249499802668,0.0,0.43877924759197534,0.9375,0.894039210018198,0.7343770473784386,0.6151506691312643
3,boundary,gp,12.71474029654755,0.8672777084718113,1.767528584277624,1.7971487519839782,A1,Si1,combo_008,0.5014572791412202,0.4985427208587798,0.9970854417175596,0.18416461024678712,0.7795912512432871,394.09330626390414,1.5499315365880213,0.0,0.4378991280615091,0.9375,0.8731000716194602,0.5942971926771705,0.5420062498622048
4,boundary,gp,12.556147695300107,1.016880440816862,1.5040268082209944,1.5808907641598262,A1,Si1,combo_008,0.4992113629301078,0.5007886370698922,0.9984227258602156,0.16614240804055194,0.7030620622189372,385.73761553854007,1.7489549974449676,0.0,0.5353553694336369,0.9375,0.8656336756926315,0.583193915708418,0.5419868175815161
5,boundary,gp,13.2899119394914,0.751767296877587,1.8894606049041323,1.6928438369954475,A1,Si1,combo_008,0.4741250523126155,0.5258749476873845,0.948250104625231,0.20755412469457263,0.8789121084769861,406.1610240699328,1.4435996158643412,0.0,0.3552553446585517,0.9375,0.8629943083215798,0.6193021201353609,0.5578820399209832
6,boundary,gp,13.577784340523792,0.6048989991121403,2.064888968004668,1.3942696077197065,A1,Si1,combo_008,0.5530752260276159,0.44692477397238406,0.8938495479447681,0.22454376744787502,0.9510566536798924,413.5591785996246,1.5354262642630538,0.0,0.4277917999682015,0.9375,0.860630503587399,0.649689709234627,0.5996177157949456
7,boundary,gp,9.812861736351714,1.6356906775827864,1.1223979345279564,1.3988431120955451,Si1,PU,combo_001,0.5055714070160047,0.49442859298399533,0.9888571859679907,0.15197322673450445,0.6428942790544782,319.00065654906916,3.3333039735014225,0.0,0.6684676210361679,0.9375,0.8605449497633835,0.4298932247075225,0.637595278817031
8,boundary,gp,12.200983432006549,0.8601950216266496,1.9638902433426115,1.5187922341139237,A1,Si1,combo_008,0.5225561174438056,0.4774438825561944,0.9548877651123888,0.1883129122153393,0.7972065338734852,382.8453569638312,1.4364515513360294,0.0,0.4801053775027995,0.9375,0.8600983151214402,0.5638012907507106,0.5475763133871662
9,boundary,gp,9.440419381416516,1.7406652078808922,1.1057297823976786,1.2735661369401883,Si1,PU,combo_001,0.4958012298928214,0.5041987701071786,0.9916024597856428,0.1494094001560599,0.6320072871873271,308.22814218248993,3.6482440576505395,0.0,0.6685864095841597,0.9375,0.8592778342625121,0.4040433527552337,0.6530249400292197
10,boundary,gp,9.289810809450998,1.3221631676126366,2.624880417527385,0.8185131526105203,A1,PU,combo_007,0.49983617964841837,0.5001638203515817,0.9996723592968367,0.13946755704901423,0.5897904048283944,306.9761141096421,2.6114357868520504,0.0,0.6891176158988566,0.9375,0.8552700716265591,0.38437201386537445,0.578047375968717
11,boundary,gp,10.386714051121158,1.522242446027883,1.124161229266433,1.4708319078184475,Si1,PU,combo_001,0.5094311673498169,0.49056883265018314,0.9811376653003663,0.15216521295374488,0.643709526242041,332.9103545311483,3.0769925023420734,0.0,0.6452336937756349,0.9375,0.8540821963929615,0.46358487621755584,0.618751619042446
12,boundary,gp,10.298382970056409,1.1184766227422058,2.883825834092571,0.5550485090481238,A1,PU,combo_007,0.49739740045502945,0.5026025995449706,0.9947948009100589,0.15147515679917004,0.6407792829073722,325.2575732723026,2.96054005947249,0.0,0.5522744837684064,0.9375,0.8500617206285697,0.42998447344043267,0.5966745063474659
13,boundary,gp,11.086785396324155,1.3711608565078224,1.230739523496399,1.3212290474479778,Si1,PU,combo_001,0.5093939696488228,0.4906060303511772,0.9812120607023544,0.15321020446348413,0.6481469613491673,347.86502801692967,2.7740933624169957,0.0,0.5426804405476335,0.9375,0.8436933717676366,0.4915736190117324,0.5864343593126413
14,boundary,gp,9.14396150719259,1.800133303332187,1.2833515455503663,0.8724597322273133,Si1,PU,combo_001,0.49189872097502274,0.5081012790249773,0.9837974419500455,0.13875300310795974,0.5867561344879954,296.70676769322034,3.8830220153322785,0.0,0.6506880241239783,0.9375,0.8418538433597201,0.37281426878054247,0.6488318933013506
15,boundary,gp,9.895845259855992,1.3889323523538295,1.6161663049976114,1.4274758997074777,Si1,PU,combo_001,0.5039980382414182,0.4960019617585818,0.9920039235171636,0.14057522556731855,0.5944939905746638,326.84260841605163,2.386978228827222,0.0,0.5662578439206474,0.9375,0.8385983149312497,0.4259940592114164,0.5475649536858566
16,boundary,gp,9.531451205674053,1.4281169044077475,2.681227273022828,1.0278728694524797,Si3,PU,combo_005,0.4952344919890148,0.5047655080109852,0.9904689839780296,0.14736243680790112,0.6233150950121132,316.34221066503153,2.314259911309071,0.0,0.508453343366239,0.9375,0.8384947414701956,0.3883836833234966,0.5445433206449921
17,boundary,gp,8.027671325011877,1.7997951401700178,2.9795867843747748,0.5518529640834002,Si3,PU,combo_005,0.4795169076398764,0.5204830923601236,0.9590338152797528,0.12684438077403332,0.5361875525142927,275.63914498408053,3.766972805164663,0.0,0.8223432584311615,0.9375,0.8355220077239489,0.3266379099180995,0.6497981399380286
18,boundary,gp,10.743649296195318,1.5278330324771319,1.121392402504706,0.9029333649915917,Si1,PU,combo_001,0.5166665609398535,0.4833334390601465,0.966666878120293,0.1540641699582866,0.6517732266648122,333.40997238839526,3.497890358564046,0.0,0.5293481718197113,0.9375,0.8354638370090743,0.4607903093318808,0.6298804823727973
