segment,n,accuracy,tp_recall,tp_f1,error_rate
Boundary,1,0.0,0.0,0.0,1.0
Non-boundary,79,0.9873417721518988,1.0,0.9859154929577465,0.012658227848101266
Overall,80,0.975,1.0,0.9722222222222222,0.025
