segment,n,accuracy,tp_recall,tp_f1,error_rate
Boundary,6,0.3333333333333333,0.5,0.3333333333333333,0.6666666666666666
Non-boundary,113,0.9911504424778761,0.984375,0.9921259842519685,0.008849557522123894
Overall,119,0.957983193277311,0.9696969696969697,0.9624060150375939,0.04201680672268908
