segment,n,accuracy,tp_recall,tp_f1,error_rate
Boundary,7,0.7142857142857143,0.5,0.6666666666666666,0.2857142857142857
Non-boundary,111,0.8828828828828829,0.864406779661017,0.8869565217391304,0.11711711711711711
Overall,118,0.8728813559322034,0.8412698412698413,0.8760330578512396,0.1271186440677966
